UID;Time;Result;s8;s7;S6;S5;S4;S3;S2;S1;T1;T2
A1G4STP1;37237.58387;7.86794E+11;10;1;16;4;28;29;25;1;5;32
A1G50MB7;37238.00479;7.86794E+11;10;1;16;5;0;22;11;7;5;32
A1GEJQ9Q;37256.53273;7.8681E+11;10;1;16;14;19;26;9;26;6;7
A1GVLV8Z;37289.6962;7.86839E+11;10;1;16;31;21;31;8;35;26;14
A1GZN35M;37297.53807;7.86846E+11;10;1;16;35;23;3;5;22;25;16
A1HF4YUS;37324.66361;7.86872E+11;10;1;17;15;4;34;30;28;1;16
A1HTHX8Z;37352.5792;7.86896E+11;10;1;17;29;17;33;8;35;32;18
A1HX195F;37359.45506;7.86902E+11;10;1;17;33;1;9;5;15;4;17
A1I5E7QC;37375.70692;7.86916E+11;10;1;18;5;14;7;26;12;22;16
A1IG1XNU;37395.42782;7.86934E+11;10;1;18;16;1;33;23;30;14;11
A1IMUKO1;37408.63833;7.86945E+11;10;1;18;22;30;20;24;1;5;33
A1INR9QS;37410.40395;7.86947E+11;10;1;18;23;27;9;26;28;3;32
A1IQV2TJ;37416.44156;7.86952E+11;10;1;18;26;31;2;29;19;9;6
A1IVZHDE;37426.39939;7.86961E+11;10;1;18;31;35;17;13;14;24;3
A1IW4XOV;37426.69387;7.86961E+11;10;1;18;32;4;33;24;31;24;3
A1IXOL3J;37429.69897;7.86963E+11;10;1;18;33;24;21;3;19;24;8
A1IYT4NO;37431.88831;7.86965E+11;10;1;18;34;29;4;23;24;28;9
A1J14ZSE;37436.41701;7.86969E+11;10;1;19;1;4;35;28;14;11;7
A1J3V6CW;37440.71887;7.86974E+11;10;1;19;3;31;6;12;32;35;21
A1J6D93Y;37445.583;7.86978E+11;10;1;19;6;13;9;3;34;0;7
A1JH4O5L;37466.50356;7.86996E+11;10;1;19;17;4;24;5;21;35;25
A1JH50SL;37466.52252;7.86996E+11;10;1;19;17;5;0;28;21;35;25
A1JLDD1J;37474.74889;7.87003E+11;10;1;19;21;13;13;1;19;33;3
